| KPI Name | Thresholds (Green/Amber/Red) | KPI Measurement Details | Reporting Frequency |
| :--- | :--- | :--- | :--- |
| **1. System Availability (Uptime)** | **Green:** ≥ 99.9%<br>**Amber:** 99.0% - 99.89%<br>**Red:** < 99.0% | `(Total time - Downtime) / Total time * 100`<br>Downtime includes all unplanned outages where the core service (transcription, analysis, summary) is unavailable to users. | Daily (for monitoring), Weekly & Monthly (for reporting) |
| **2. Number of Major System Incidents** | **Green:** 0<br>**Amber:** 1<br>**Red:** ≥ 2 | A count of Severity 1/P1 incidents (complete system outage) and Severity 2/P2 incidents (major feature degradation) that impact a significant portion of users. | Weekly & Monthly |
| **3. Data Breach/Policy Violation Events** | **Green:** 0<br>**Amber:** N/A<br>**Red:** ≥ 1 | A count of confirmed security incidents involving unauthorized access, exposure, or misuse of customer PII or call data. A single event is critical. | Immediate alert, Quarterly summary |
| **4. Audio Transcription Accuracy (WER)** | **Green:** WER ≤ 10%<br>**Amber:** WER 10.1% - 20%<br>**Red:** WER > 20% | **Word Error Rate (WER):** `(S + D + I) / N * 100`<br>Where S = Substitutions, D = Deletions, I = Insertions, N = Total words in reference transcript.<br>*Measured on a statistically significant sample of calls.* | Weekly |
| **5. Complaint Categorization Accuracy** | **Green:** ≥ 95%<br>**Amber:** 90% - 94.9%<br>**Red:** < 90% | `(Number of correctly categorized complaints / Total number of complaints sampled) * 100`<br>Accuracy is judged against the category assigned by a human expert reviewer. | Weekly |
| **6. Summary Quality Score** | **Green:** Avg. Score ≥ 4.0/5<br>**Amber:** Avg. Score 3.0 - 3.9/5<br>**Red:** Avg. Score < 3.0/5 | A human-in-the-loop evaluation on a sample of summaries. Reviewers score (1-5) on criteria:<br>• **Accuracy:** Factually correct.<br>• **Completeness:** Captures key points.<br>• **Conciseness:** No redundant info.<br>• **Readability:** Clear and structured. | Monthly |
| **7. Policy/Procedure Identification Recall** | **Green:** Recall ≥ 90%<br>**Amber:** Recall 80% - 89%<br>**Red:** Recall < 80% | **Recall:** `(Relevant Policies Identified by AI) / (All Relevant Policies that should have been identified) * 100`<br>Measures the system's ability to find ALL relevant policies, reducing investigator workload. | Monthly |
| **8. Draft Response Acceptance Rate** | **Green:** ≥ 70%<br>**Amber:** 50% - 69%<br>**Red:** < 50% | `(Number of AI-drafted responses used with no or minor edits / Total number of AI-drafted responses generated) * 100`<br>Measures the practical utility and adoption of the AI feature by agents. | Weekly |
| **9. Average Handling Time (AHT) Impact** | **Green:** Reduction ≥ 15%<br>**Amber:** Reduction 5% - 14.9%<br>**Red:** Increase or reduction < 5% | `(AHT of cases without AI - AHT of cases with AI) / AHT of cases without AI * 100`<br>Measures the efficiency gain for investigators/agents using the AI tool. | Monthly |
| **10. End-to-End Processing Latency (P95)** | **Green:** ≤ 90 seconds<br>**Amber:** 91 - 120 seconds<br>**Red:** > 120 seconds | The 95th percentile time from when a call audio ends to when the fully analyzed case (text, category, summary, policies) is available in the investigator's queue. Ensures usability. | Daily & Weekly |
| **11. User Satisfaction (CSAT)/Adoption** | **Green:** CSAT ≥ 4.2/5<br>**Amber:** CSAT 3.5 - 4.1/5<br>**Red:** CSAT < 3.5/5 | A short survey presented to investigators/agents: "How satisfied are you with the AI-generated analysis and summary?" (Scale 1-5).<br>**Adoption:** `(Active Users of AI tool / Total Target Users) * 100` | Quarterly |
